"state","avg_order_value"
"PB","250.153630"
"AC","235.978916"
"AP","233.939275"
"AL","229.186837"
"RO","226.994821"
"RR","220.476098"
"PA","216.134098"
"PI","208.873353"
"SE","204.328866"
"TO","203.414814"
"MA","201.098354"
"MT","199.605853"
"CE","198.705421"
"RN","197.119961"
"MS","186.179418"
"PE","185.407672"
"AM","182.756159"
"BA","169.759001"
"GO","163.309340"
"SC","162.580825"
"DF","161.599519"
"RJ","158.081394"
"RS","155.447763"
"MG","154.123823"
"ES","153.618303"
"PR","152.450682"
"SP","136.387118"
