"year","month","repeat_AOV"
"2016","10","119.026250"
"2016","12","19.620000"
"2017","1","93.347700"
"2017","2","123.723158"
"2017","3","131.023947"
"2017","4","185.014026"
"2017","5","140.203514"
"2017","6","117.441815"
"2017","7","111.166199"
"2017","8","126.468733"
"2017","9","139.355804"
"2017","10","133.003466"
"2017","11","142.601066"
"2017","12","143.064404"
"2018","1","136.934536"
"2018","2","134.065795"
"2018","3","133.396955"
"2018","4","152.429611"
"2018","5","159.569644"
"2018","6","137.648914"
"2018","7","152.002712"
"2018","8","145.997760"
