"year","month","monthly_revenue"
"2016","10","46566.71"
"2016","12","19.62"
"2017","1","127545.67"
"2017","2","271298.65"
"2017","3","414369.39"
"2017","4","390952.18"
"2017","5","567066.73"
"2017","6","490225.60"
"2017","7","566403.93"
"2017","8","646000.61"
"2017","9","701169.99"
"2017","10","751140.27"
"2017","11","1153528.05"
"2017","12","843199.17"
"2018","1","1078606.86"
"2018","2","966510.88"
"2018","3","1120678.00"
"2018","4","1132933.95"
"2018","5","1128836.69"
"2018","6","1012090.68"
"2018","7","1027903.86"
"2018","8","985414.28"
